,reple,score
0,김영광 친구들이 진짜 웃김ㅋㅋ(롤케익ㅋㅋ) 박보영 연기 잘하는건 알았는데 김영광 이 이렇게 연기를 잘할 줄이야  ,10
1,첫사랑은 추억으로만 가지고있어야 가장예쁘다.  ,10
2,건축학개론보다 훨씬좋다  ,10
3,그래서 롤케ㅤㅇㅣㅋ은 도대체 누가 가져다놓았을까  ,10
4,이 영화를 보고 가장 먼저 떠오른 사람이 여러분의 첫사랑일 것입니다. 가벼운 마음으로 봤지만 많은 생각을 하게 만드는 예쁜 영화  ,10
5,자존감 낮은 나에게 이유없이 사랑주고 예쁨 주던 그 때의 네가 생각나 고마웠던 영화.  ,10
6,박보영은그냥10점.  ,10
7,"""세상에 반이 여자면 뭐해 니가아닌데""  ",10
8,승희의 마음을 말해주는 씬이 부족해 아쉽지만 재밌고 설레이는 영화.  ,10
9,관람객사랑은타이밍이지...  ,8
10,김영광 친구들이 진짜 웃김ㅋㅋ(롤케익ㅋㅋ) 박보영 연기 잘하는건 알았는데 김영광 이 이렇게 연기를 잘할 줄이야  ,10
11,첫사랑은 추억으로만 가지고있어야 가장예쁘다.  ,10
12,건축학개론보다 훨씬좋다  ,10
13,그래서 롤케ㅤㅇㅣㅋ은 도대체 누가 가져다놓았을까  ,10
14,이 영화를 보고 가장 먼저 떠오른 사람이 여러분의 첫사랑일 것입니다. 가벼운 마음으로 봤지만 많은 생각을 하게 만드는 예쁜 영화  ,10
15,자존감 낮은 나에게 이유없이 사랑주고 예쁨 주던 그 때의 네가 생각나 고마웠던 영화.  ,10
16,박보영은그냥10점.  ,10
17,"""세상에 반이 여자면 뭐해 니가아닌데""  ",10
18,승희의 마음을 말해주는 씬이 부족해 아쉽지만 재밌고 설레이는 영화.  ,10
19,관람객사랑은타이밍이지...  ,8
20,김영광 친구들이 진짜 웃김ㅋㅋ(롤케익ㅋㅋ) 박보영 연기 잘하는건 알았는데 김영광 이 이렇게 연기를 잘할 줄이야  ,10
21,첫사랑은 추억으로만 가지고있어야 가장예쁘다.  ,10
22,건축학개론보다 훨씬좋다  ,10
23,그래서 롤케ㅤㅇㅣㅋ은 도대체 누가 가져다놓았을까  ,10
24,이 영화를 보고 가장 먼저 떠오른 사람이 여러분의 첫사랑일 것입니다. 가벼운 마음으로 봤지만 많은 생각을 하게 만드는 예쁜 영화  ,10
25,자존감 낮은 나에게 이유없이 사랑주고 예쁨 주던 그 때의 네가 생각나 고마웠던 영화.  ,10
26,박보영은그냥10점.  ,10
27,"""세상에 반이 여자면 뭐해 니가아닌데""  ",10
28,승희의 마음을 말해주는 씬이 부족해 아쉽지만 재밌고 설레이는 영화.  ,10
29,관람객사랑은타이밍이지...  ,8
